States/UTs,Geographical_-_Area_(sq_km),RFA_-_(sq_km),Volume_of_Growing_Stock_(m._cum)_-_In_Forest,Volume_of_Growing_Stock_(m._cum)_-_In_TOF,Volume_of_Growing_Stock_(m._cum)_-_Total,issuer_id,project_id,degree,issuer_degree,fraud_flag
Andhra Pradesh,"2,75,069","63,814",195.829,102.146,297.975,0,0,5,5,Legit
Arunachal Pradesh,"83,743","51,541",439.51,87.938,527.448,1,1,5,5,Legit
Assam,"78,438","26,832",151.904,38.087,189.991,2,2,5,5,Legit
Bihar,"94,163","6,473",29.328,41.66,70.988,3,3,5,5,Legit
Chhattisgarh,"1,35,191","59,772",347.106,76.313,423.419,4,4,5,5,Legit
Delhi,"1,483",85,0.47,1.047,1.517,5,5,5,5,Legit
Goa,"3,702","1,225",10.331,3.909,14.24,6,6,4,4,Legit
Gujarat,"1,96,022","21,647",50.62,109.012,159.632,7,7,4,4,Legit
Haryana,"44,212","1,559",5.388,14.194,19.582,8,8,4,4,Legit
Himachal Pradesh,"55,673","37,033",317.295,20.763,338.058,9,9,4,4,Legit
JammuandKashmir,"2,22,236","20,230",232.181,145.064,377.245,0,10,1,5,Legit
Jharkhand,"79,714","20,605",103.734,55.945,159.679,1,11,1,5,Legit
Karnataka,"1,91,791","38,284",294.631,89.531,384.162,2,12,1,5,Legit
Kerala,"38,863","11,309",152.269,45.788,198.057,3,13,1,5,Legit
Madhya Pradesh,"3,08,245","94,689",251.003,82.979,333.982,4,14,1,5,Legit
Maharashtra,"3,07,713","61,357",208.495,139.704,348.199,5,15,1,5,Legit
Manipur,"22,327","17,418",50.288,9.368,59.656,6,16,1,4,Legit
Meghalaya,"22,429","9,496",39.882,20.047,59.929,7,17,1,4,Legit
Mizoram,"21,081","16,717",59.359,8.165,67.524,8,18,1,4,Legit
Nagaland,"16,579","9,222",37.076,11.89,48.966,9,19,1,4,Legit
Odisha,"1,55,707","58,136",235.768,74.494,310.262,0,20,1,5,Legit
Punjab,"50,362","3,084",13.018,17.061,30.079,1,21,1,5,Legit
Rajasthan,"3,42,239","32,737",34.088,79.17,113.258,2,22,1,5,Legit
Sikkim,"7,096","5,841",23.841,2.423,26.264,3,23,1,5,Legit
Tamil Nadu,"1,30,058","22,877",116.042,62.139,178.181,4,24,1,5,Legit
Tripura,"10,486","6,294",22.904,6.871,29.775,5,25,1,5,Legit
Uttar Pradesh,"2,40,928","16,583",134.509,76.106,210.615,6,26,1,4,Legit
Uttarakhand,"53,483","34,651",473.083,19.336,492.419,7,27,1,4,Legit
West Bengal,"88,752","11,879",83.305,41.737,125.042,8,28,1,4,Legit
Andaman andNicobar Islands,"8,249","7,171",57.953,0.545,58.498,9,29,1,4,Legit
Chandigarh,114,35,0.262,0.082,0.344,0,30,1,5,Legit
DadraandNagar Haveli,491,204,1.807,0.72,2.527,1,31,1,5,Legit
DamanandDiu,112,8,0.001,0.104,0.105,2,32,1,5,Legit
Lakshadweep,32,0,0,0.052,0.052,3,33,1,5,Legit
Puducherry,480,13,0.083,0.294,0.377,4,34,1,5,Legit
Total,"32,87,263","7,71,821","4,173.36","1,484.68","5,658.05",5,35,1,5,Legit
